std::sig_atomic_t,<csignal>
std::signal,<csignal>
std::va_arg,<cstdarg>
std::va_copy,<cstdarg>
std::va_end,<cstdarg>
std::va_list,<cstdarg>
std::va_start,<cstdarg>
std::NULL,<cstddef>
std::max_align_t,<cstddef>
std::nullptr_t,<cstddef>
std::offsetof,<cstddef>
std::ptrdiff_t,<cstddef>
std::size_t,<cstddef>
std::BUFSIZ,<cstdio>
std::EOF,<cstdio>
std::FILE,<cstdio>
std::FILENAME_MAX,<cstdio>
std::FOPEN_MAX,<cstdio>
std::L_tmpnam,<cstdio>
std::NULL,<cstdio>
std::TMP_MAX,<cstdio>
std::clearerr,<cstdio>
std::fclose,<cstdio>
std::feof,<cstdio>
std::ferror,<cstdio>
std::fflush,<cstdio>
std::fgetc,<cstdio>
std::fgetpos,<cstdio>
std::fgets,<cstdio>
std::fopen,<cstdio>
std::fpos_t,<cstdio>
std::fprintf,<cstdio>
std::fputc,<cstdio>
std::fputs,<cstdio>
std::fread,<cstdio>
std::freopen,<cstdio>
std::fscanf,<cstdio>
std::fseek,<cstdio>
std::fsetpos,<cstdio>
std::ftell,<cstdio>
std::fwrite,<cstdio>
std::getc,<cstdio>
std::getchar,<cstdio>
std::gets,<cstdio>
std::perror,<cstdio>
std::printf,<cstdio>
std::putc,<cstdio>
std::putchar,<cstdio>
std::puts,<cstdio>
std::remove,<cstdio>
std::rename,<cstdio>
std::rewind,<cstdio>
std::scanf,<cstdio>
std::setbuf,<cstdio>
std::setvbuf,<cstdio>
std::size_t,<cstdio>
std::snprintf,<cstdio>
std::sprintf,<cstdio>
std::sscanf,<cstdio>
std::stderr,<cstdio>
std::stdin,<cstdio>
std::stdout,<cstdio>
std::tmpfile,<cstdio>
std::tmpnam,<cstdio>
std::ungetc,<cstdio>
std::vfprintf,<cstdio>
std::vfscanf,<cstdio>
std::vprintf,<cstdio>
std::vscanf,<cstdio>
std::vsnprintf,<cstdio>
std::vsprintf,<cstdio>
std::vsscanf,<cstdio>
